comment;violence;directed_vs_generalized;gender;race;national_origin;disability;religion;sexual_orientation,,,,,,,,,,
You should know women's sports are a joke;0;0;1;0;0;0;0;0,,,,,,,,,,
You look like Sloth with deeper Down’s syndrome;0;0.833333333;0;0;0;1;0;0,,,,,,,,,,
You look like Russian and speak like Indian. Both are disgusting go kill yourself;1;0.5;0.142857143;0.142857143;0.714285714;0;0;0,,,,,,,,,,
Women deserve to be abused, I guess.;0.666666667;0.166666667;1;0;0;0;0;0,,,,,,,,,
Women are made for making babies and cooking dinner and nothing else!!!;0;0;1;0;0;0;0;0,,,,,,,,,,
why haven't you faggots taken the bi-pill yet;0.5;0.5;0;0;0;0;0;1,,,,,,,,,,
Why don’t you go beck your god to murder you? Christianity is a joke;0.833333333;0.5;0;0;0;0;1;0,,,,,,,,,,
why does that african american monkey hold gun like that?;0;0.5;0;1;0;0;0;0,,,,,,,,,,
Why does Bulgaria exist as a country? It's one of those homosexual ones.;0;0.5;0;0;0.428571429;0;0;0.571428571,,,,,,,,,,
Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.;0.25;0;0;1;0;0;0;0,,,,,,,,,,
who gives aa fuck about shit diamonds from the jews fuck them both;0.75;0;0;0.25;0;0;0.75;0,,,,,,,,,,
Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat;0.833333333;0.833333333;0;0;0;0;1;0,,,,,,,,,,
white people are shit human beings;0.166666667;0;0;1;0;0;0;0,,,,,,,,,,
what happened in the good old days when these freaks did not exist ? which sewer have these freaks dragged themselves out of ? its just a manufactured group of freaks who want to cut their cocks off and take it up the arse in the hope that the world will treat them as woman . it takes more than that to be a woman . stop pandering to these twats .;0;0;0.25;0;0;0;0;0.75,,,,,,,,,,
What about a global massacre of men? Pussiezzz only girls;0.833333333;0;1;0;0;0;0;0,,,,,,,,,,
what a disgusting man and disgusting religion. He admits that muslim buy all their wifes ! .pff...This is why all muslims are poor...islam keeps them stupid !;0;0.75;0.2;0.2;0;0;0.6;0,,,,,,,,,,
well it's clear now why europeans can't differ niggers and shitskins from human;0;0;0;0.8;0.2;0;0;0,,,,,,,,,,
Well im glad that i live in Serbia, migrants and islamists are not welcome here!;0;0.166666667;0;0;0.5;0;0.5;0,,,,,,,,,
Well done Slovakia and god bless. DO NOT build mosques, or allow or recognise Islam. They will get the point that EUROPE don't want Muslims here.;0.166666667;0;0;0;0.25;0;0.75;0,,,,,,,,,
We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ;0;0;0;1;0;0;0;0,,,,,,,,,
we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.;0;0;0.1;0.5;0.4;0;0;0,
WE NEED THE NAZI PARTY TO RETURN.....GET ANOTHER HITLER...AND FORM THE SS....AND START AN ETHNIC CLEANSING OF ALL MUSLIMS...YES YES..GATHER THEM UP...PUT THEM IN A CONCENTRATION CAMP...THEN PUT THESE MUSLIM REFUGEES ON A SHIP AND SEND THEM ALL BACK TO THIER OWN COUNTRIES ....AND THEY CAN DO AS THEY WANT THERE...LIVE THIER WAYS AND BY THIER RIDICULOUS LAWS.... THEY DON√¢¬Ä¬ôT ASSIMILATE TO THE NEW WESTERN COUNTRIES..AND TRY TO DICTATE TO US WHAT TO DO AND TO EVEN REMOVE JESUS FROM SCHOOLS AND OTHER PUBLIC AREAS...ARE YOU FUCKING SERIOUS...FUCK OFF YOU DIRTY SMELLING MUSLIMS... STOP DICTATING WHAT WE CAN OR CANT DO IN OUR OWN COUNTRIES...√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬° PEOPLE POWER MUST RISE AND SAY ENOUGH IS ENOUGH...TAKE SWEDEN BACK FOR SWEDES...TAKE GREECE BACK FOR GREEKS..TAKE GERMANY BACK..TAKE POLAND BACK..TAKE DENMARK BACK...SAVE OUR COUNTRIES....AND TAKE EUROPE BACK. INTRODUCE AN...SS...STYLE POLICE...AND CLEAN UP THESE STREETS AND GHETTOS....FULL OF DIRTY MUSLIMS...ITS THE GOVERNMENTS FAULT FOR ALLOWING THS SHIT TO HAPPEN....SEND THE MILITARY IN..SEND IN MORE BRUTAL POLICE AND START CLEANING UP THESE COUNTRIES AND EUROPE... MUSLIMS ARE INVADING EUROPE AND WE ARE ALLOWING THIS TO HAPPEN. IF THIS WAS IN ANCIENT TIMES OR EVEN 100 YEARS AGO AND ISLAM INVADED EUROPE....IT WOULD BE AN ALL OUT WAR. BRING BACK THE CRUSADERS AND AN ...√¢¬Ä¬ò SS √¢¬Ä¬ò...STYLE NAZI POLICE.  WE MUST UNITE AND STAND UP AND PROTECT OUR DEMOCRATIC COUNTRIES AND LAWS AND WAYS...AND ELIMINATE ISLAM AND THROW THESE DIRTY  SMELLING MUSLIM...ANIMALS OUT AND SEND THEM BACK TO THEIR OWN COUNTRIES AND THEY CAN LIVE AS THEY WISH..THEY CAN FUCK THEIR GOATS AND RAPE THEIR OWN WOMEN..  FUCKING DISGUSTING MUSLIMS...LOW LIFE DIRTY RACE...AND ISLAM IS NIT GODS RELIGION...ITS A CULT..ITS A RIDICULOUS UNETHICAL AND IMORAL CULT..! √∞¬ü¬ò¬à√∞¬ü¬ò¬à ...ITS SATINS WORK..SATINS PREACHINGS.   GOD..THE CREATOR OF THE UNIVERSE....DOES NOT PREACH TO KILL INFIDELS AND KILL NON BELIEVERS... AND TO HAVE 3...4...5 WIVES AND COMMIT PEDOPHILIA..AND MARRY 9 YEAR OLD LITTLE GIRLS..!  MUSLIMS....WHO HAVE NEVER CONTRIBUTED TO HUMANITY....NEVER INVENTED ANYTHING ....NOTHING POSITIVE COMES FROM ISLAM...THEY CREATED NOTHING..INVENTED NOTHING...CONTRIBUTED NOTHING TO THE HUMAN RACE.... MUSLIMS, JUST LIVE IN OUR WESTERN DEMOCRATIC COUNTRIES...ENJOY OUR WAYS ..MILK THE WELFARE SYSTEM...AND RUIN THESE COUNTRIES...CREATE PROBLEMS...FIGHT...STEAL AND CREATE CRIME...SCARE PEOPLE...TR6 TO CHAGE OUR WESTERN WAY OF LIFE AND EVEN RAPE OUR WOMEN..  FUCK THESE COCKSUCKERS...BURN THEM ALL...IMPALE THEM...WE MUST FIGHT BACK AND UNITE AND CLEAN EUROPE UP AGAIN. SOON GOD WILL SEND HIS TRUE MESSENGER....TO PLANET EARTH √∞¬ü¬å¬è...GOD WILL SEND A CLEAR MESSAGE ...TO HUMANITY AND THE MUSLIM PEOPLE ...WILL FEEL THE WRATH OF GOD AND SUFFER THE CONSEQUENCES....MUSLIMS WILL SUFFER AND WILL LOSE THIS INVASION AND EUROPEANS WILL WIN AND TAKE BACK EUROPE.. This is the beginning of the new CRUSADES...Christianity vs Islam...the crusaders against Islam and we need to fight and protect our way of life and Democratic society..√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√∞¬ü¬ó¬°√∞¬ü¬ó¬°√∞¬ü¬ó¬°√∞¬ü¬ó¬°;1;0;0;0.285714286;0.142857143;0;0.571428571;0,,,,,,,,,
We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.;0.25;0.5;0.571428571;0.428571429;0;0;0;0,,,,,,,,
Watching this kid trying to step up and walk with that crutches is the best thing in the world. So idiot;0;1;0.142857143;0;0;0.857142857;0;0,,,,,,,,,,
U SUCK SHIT YOU BLACK FUCK;0;0.75;0;1;0;0;0;0,,,,,,,,,,
transgenders need help...they are sick in the head. Civilization has messed up the world. Soon enough, people will claim to have the right to change to animals and it will be seen as human rights or right to choose;0;0;0.25;0;0;0;0;0.75,,,,,,,,,
Trans are using the same logic feminists have been using for decades to destroy men so i don&#39t feel sorry for wamen not one bit!;0.25;0;0.333333333;0;0;0;0;0.666666667,,,,,,,,,,
Time to nuke China or Unleash a plague.;0.92;0.16;0.04;0.08;0.88;0;0;0,,,,,,,,,,
Throwing stones to paraplegic kids is my favourite hobby;1;0;0;0;0;1;0;0,,,,,,,,,,
this was shit the guy should of boxed his head off and thrown him through the top window,fuck peoado muhamed and islam;0.75;0.5;0;0.25;0;0;0.75;0,,,,,,,,,
This sick, disgusting, white terrorist/fascist killed more than 50 innocent people.;0.166666667;0.666666667;0.142857143;0.571428571;0.142857143;0.142857143;0;0,,,,,,,,
This priest is being hated even by his stupid god. ;0;0.833333333;0;0;0;0;1;0,,,,,,,,,,
This Korean bitch is like a pig. That’s how they made an army of sumos there in their shithole country;0;0.833333333;0;0;1;0;0;0,,,,,,,,,,
This is so sinful. It says it in the bible you dumb fucktards. Stop saying YOU WILL GO TO HEAVEN IF YOU ARE GAY. because you will not go to heaven. Trust me its a fucking choice my GF dated girls and I was her 2nd bf she dated like 12 girls and she is 100% straight. You can change to the right side :);0;0.25;0;0;0;0;0;1,,,,,,,,,,
This is exactly how I feel like when I see a tranny like this disgusting af;0;1;0;0;0;0;0;1,,,,,,,,,,
This is considered WHITE in Sweden. No wonder they accepted all those black and muslim immigrants. They are literally color blind.;0;0.25;0;0.5;0.25;0;0.25;0,,,,,,,,,,
This homo faggot Spike Lee wore this at the Flopscers. Notice the blatant subliminal messages.;0.166666667;1;0;0;0;0;0;1,,,,,,,,,,
This fcking jew wants money? I’ll give him only my dick if he wants;0.166666667;0.666666667;0;0.166666667;0.166666667;0;0.666666667;0,,,,,,,,,,
They are insolent parasites and always have been. I bear no ill will to Christ, but the jewish race itself is a plague.;0;0;0;0.2;0;0;0.8;0,,,,,,,,,
These women aren't autistic, they are smart, autistic people are retards, they make weird noises, they flap their hands. These people are not autistic.;0;0;0.166666667;0;0;0.833333333;0;0,,,,,,
These people are fucking animals they will never change. Our cultures are simply not compatible. There is definitely a rape culture and it√¢¬Ä¬ôs right here with Islam.;0.166666667;0;0;0;0;0;1;0,,,,,,,,,,
There is clearly written in Quran Person who not follow Quran is called kafir and.. Kill them you will get 72 hours Islam Is Terrorism;0.833333333;0;0;0;0;0;1;0,,,,,,,,,,
The world would be better without white people because they stole from the black Egyptians in the before christ ages they was poor we wasnt whites  ruins everything for black people/White people have pig dicks and no shape no hips or no booty they have to get plastic surgery as us blacks get it from our mother whites brought skin cancer to america so learn some facts before you try to run us out america when we was here before yall racist ass smelly crackers and dont say you will beat my ass because you cant and if you wanna find out drop your adress√∞¬ü¬Ü¬ó√Ø¬∏¬è√∞¬ü¬í¬Ø√∞¬ü¬ô¬Ç;0.166666667;0;0.333333333;0.666666667;0;0;0;0,,,,,,,,,,
The reason you see Indians bashing Muslims and Islam here because Hindu supremacists hate Islam and Muslims. Atrocities in Kashmir, cow lynching of Muslims, gang rapes of Muslims children, have you not read or heard about them?  This should be clear for all Muslims across the world that India is not a friend of Islam or Muslims, and behind the disguise of secularism, they hate Muslims. All Arab, Muslim countries and their residents should see and understand this ugly face of racist Hindus. They are the overwhelming majority in India and number of votes cast to BJP-RSS party is a proof . It amazes me that Saudi Arabia and other gulf countries are spending billions on India and not seeing that how much they hate Islam and Muslims? Particularly Arabs, wake up. If you canât understand this now then when or what will make you? Let all Muslims be united and boycott Indian products, their restaurants and movies, until they stop killing Muslims in Kashmir and the rest of India, and make a law to stop anti Muslim hate and racism.;0.5;0;0;0;0.5;0;0.5;0
The only thing more repulsive than a nigger is a nigger faggot. Self-hating whites shower images of cross-dressed niggers with praise because the modern left fetishizes all forms of depravity.;0.333333333;0;0;0.6;0;0;0;0.4,,,,,,,,,,
The men are turtles...idiots even in uk… get lost;0;0.166666667;0.857142857;0;0.142857143;0;0;0,,,,,,,,,,
The guy should feel shame to be gay. It is such a wrong choice. Bad influence on young people. Never seen being proud of being gay. It is like saying being proud of rapist. Awful !  The only time I am so disappointed at Trump. Under political pressure, he failed to stand up for the ground, the right thing !;0;0.5;0;0;0;0;0;1,,,,,,,,
That girl still need a good ass whooping, stupid ass bitch!!;0.5;1;1;0;0;0;0;0,,,,,,,,,
That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!;0.833333333;0.833333333;0.142857143;0.857142857;0;0;0;0,,,,,,,,,,
Teaching my kids transgenders are anything but mentally ill will get you set on fire.;0.833333333;0.333333333;0.166666667;0;0;0.333333333;0;0.5,,,,,,,,,,
Taliban and all people with this thought must hanged;1;0;0;0;0.833333333;0;0.166666667;0,,,,,,,,,,
Surprised that the burqa is banned in Belgium, but not in Poland where they are is much more looked-down upon. Kill them;1;0;0;0.166666667;0.333333333;0;0.5;0,,,,,,,,,
Support from China , we also fight the cancer religion in Xinjiang , despite all the differences between our two races, we have one unite enemy that is Islam.;0.5;0;0;0;0;0;1;0,,,,,,,
Stupid ugly asian tan ass snitch;0;1;0;0.333333333;0.666666667;0;0;0,,,,,,,,,,
stupid black women,if i were in that restaurant, i would had whipped their ass;0.666666667;0.333333333;0.4;0.6;0;0;0;0,,,,,,,,
stone throwing must be legal when against women;1;0;1;0;0;0;0;0,,,,,,,,,,
Stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. If you find it in the street kill it and bury it right there these animals will wipe you out if your not careful;1;0.166666667;0.333333333;0.666666667;0;0;0;0,,,,,,,,,,
Smack that bitch up - mouthy African cunt;1;0.666666667;0.166666667;0.166666667;0.666666667;0;0;0,,,,,,,,,,
She said is christian. Well I now I want to bury her;0.833333333;1;0.166666667;0;0;0.166666667;0.666666667;0,,,,,,,,,,
She is heavily relying on him to turn the other cheek...tough talking demon infested woman.;0.333333333;1;1;0;0;0;0;0,,,,,,,,,,
Serbia should kill gays in yugoslavia and not albanians, bosnians, croatian;0.833333333;0.166666667;0;0;0.142857143;0;0;0.857142857,,,,,,,,
SEND ALL GAYS TO HELL;0.833333333;0;0;0;0;0;0;1,,,,,,,,,,
SEE THE BLACKS IN PARIS? THEY TRY TO PRETEND THEY ARE FRENCH,  the''men'' want one thing--to pimp out girls and women. The black women desire white men to pretend they are like white french wives but they are Africans. THEY DO NOT BLEND IN WITH WHITE SOCIETY.;0;0.166666667;0.25;0.5;0.25;0;0;0,,,,,,,,,
Salute to Taliban Mujahideen. We Pakistanis are strongly supporting you. Go crush america and kill those bastards. Allah u Akbar. Victory will be yours Insha Allah.;1;0;0;0.142857143;0.714285714;0;0.142857143;0,,,,,,,,,,
Really, I hope she get raped in the future. Raping women should be legal I think;1;0.333333333;1;0;0;0;0;0,,,,,,,,,
Racist ass black bitch slapping a white man. Bus driver has that uppercut for that ass.;0.833333333;0.833333333;0.25;0.75;0;0;0;0,,,,,,,,,,
phuck white rasist ass people;0.166666667;0;0;1;0;0;0;0,,,,,,,,,,
or when the man walked up to the little girl with the gay pride flag i wanted to jump into the video and punch him but ya know thats assault;0.833333333;0.833333333;0;0;0;0;0;1,,,,,,,,,,
Only black lives matter. fuck white people the cancer of the earth;0.5;0;0;1;0;0;0;0,,,,,,,,,,
Native Americans are a fucking joke. They did not have even a decent mother language. ;0;0;0;0;1;0;0;0,,,,,,,,,,
Muslims want war! So take it to them first;0.833333333;0;0;0;0;0;1;0,,,,,,,,,,
Mentally disabled people are fucking scary. Their disfigurements are very unnerving and strange and the fact that they have the mental capacity of a 5 year old makes them all the more threatening as you never know what they might do.;0;0;0;0;0;1;0;0,,,,,,,,,,
Men race is a subordinate of women;0;0;0.833333333;0.166666667;0;0;0;0,,,,,,,,,,
Maybe it's because you're autistic?? Wish you death;1;1;0;0;0;1;0;0,,,,,,,,,,
Look at these gay ass niggas. lol. Acting like they some bitches.;0.166666667;0;0.25;0.5;0;0;0;0.25,,,,,,,,,,
Lol, you're not white, you're a Jew. Jews are the worst nation and they must be annihilated, so like you;0.833333333;0.333333333;0;0;0.166666667;0;0.833333333;0,,,,,,,
lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .;0.333333333;0.166666667;1;0;0;0;0;0,,,,,,,,,,
LGBTQ+ are mentally ill. Period.;0.166666667;0;0.142857143;0;0;0;0;0.857142857,,,,,,,,,,
Let's go beat these queers!;0.833333333;0.166666667;0;0;0;0;0;1,,,,,,,,,,
Killing koreans its werry good;1;0;0;0;1;0;0;0,,,,,,,,,,
Kill these basterds, son of sluts who attack u in name of religion. Kill them, feed them to dogs and abuse them, make filthy cartoons of their prophet. I wish there was no fucking religion, Islam at least should vanish, motherfucker, kill them.;1;0.166666667;0;0;0;0;1;0,,,,
kill the gays;1;0;0;0;0;0;0;1,,,,,,,,,,
Kill every white people mercylessly.;0.833333333;0.166666667;0;1;0;0;0;0,,,,,,,,,,
Kill ALL black people.;1;0;0;1;0;0;0;0,,,,,,,,,,
Just look at that crowd!!! ALL FAT WHITE TRASH OR METH ADDICTS;0;0;0;1;0;0;0;0,,,,,,,,,,
It numbs them to the disgusting degeneracy and fruitless hedonism of faggot sex;0;0;0;0;0;0;0;1,,,,,,,,,,
Islam is pig shit;0;0;0;0;0;0;1;0,,,,,,,,,,
Islam is hell .  We Asian hate isalm...Islam bring only destruction..killing.  rape... rufugee.... Islam is hell .. Asian thought √∞¬ü¬ò¬Ç√∞¬ü¬ò¬Çsorry...but is true;0.333333333;0;0;0;0.166666667;0;0.833333333;0,,,,,,,,,,
Islam is a religion of hate. These propaganda type videos are dishonest. Simply read the Quran and Hadith.;0;0.166666667;0;0;0;0;1;0,,,,,,,,,,
Islam is  the home of terriorism .;0;0;0;0;0;0;1;0,,,,,,,,,,
Is that guy-shadow or are you just a genetic faggot?;0;1;0;0;0;0;0;1,,,,,,,,,,
Indians are shit but burgers only have broken English and ebonics to learn and still fail. Second thread in a row where a burger can't figure out you're and your;0;0;0;0;1;0;0;0,,,,,,,,,,
Incest baby that got double-down syndrome;0;0.833333333;0;0;0;1;0;0,,,,,,,,,,
Ima fucking stab u up bruv. Fucking white prick bruv.. fucking racist.  Gammon;0.666666667;0.833333333;0.166666667;0.833333333;0;0;0;0,,,,,,,,,,
Im going to choke you with your cross necklace idiotic religious pig;1;0.833333333;0;0;0;0;1;0,,,,,,,,,,
Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased.;0;0.5;0.857142857;0;0;0;0;0.142857143,,,,,,,,,
If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.;0;0.166666667;1;0;0;0;0;0,,,,,,,,,,
"If I were your dad, I'd Google ""Abortions at 30 years old mentally handicapped”.;0.666666667;0.5;0;0;0;1;0;0",,,,,,,,,,
If i were you I would inject lethal heroin to my ‚Äòsick' child immediately!;0.833333333;0.833333333;0.166666667;0.166666667;0;0.666666667;0;0,,,,,,,,,,
If I had to meet one of the apostles I would fuck them for not killing him;0.833333333;0.5;0.166666667;0;0;0;0.833333333;0,,,,,,,,,,
If I had Down syndrome I would kill myself;0.666666667;0.333333333;0;0;0;1;0;0,,,,,,,,,,
I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N;1;0.5;0.833333333;0;0;0;0;0.166666667,,,,,,,,,,
I remember once I was in charge of a disabled kid. Every night I was wishing slow death for him;0.5;0.833333333;0;0;0;1;0;0,,,,,,,,,,
I just don't like Homosexuals raising kids it's my opinion.;0;0;0;0;0;0;0;1,,,,,,,,,,
I hate mentally disabled people trying to touch my kids.;0;0;0;0;0;1;0;0,,,,,,,,,,
I hate every religion, but because of you I hate most of all your religion and its stupid theories about God and shits;0;0.333333333;0;0;0;0;1;0,,,,,,,,,
I fucking hate gay and lesbians they are all animals;0;0;0;0;0;0;0;1,,,,,,,,,,
I don’t think you have the right to write comments or even express your opinion freely. Free speech is a human right. Autistics aren’t 100% humans;0.166666667;0.5;0;0;0;1;0;0,,,,,,,,,,
I don't hate women i just think that they have nothing interesting to say. None reason for existance.;0;0;1;0;0;0;0;0,,,,,,,,,,
Hope you fucking die bitches gay people should not exist all you do is lick one another's ass;1;0.166666667;0;0;0;0;0;1,,,,,,,,,,
Homosexuality leads to death and extinction;0.333333333;0;0;0;0;0;0;1,,,,,,,,,,
Homosexuality and transgenderism is a mental illness and a sexual perversion!;0;0;0.142857143;0;0;0;0;0.857142857,,,,,,,,,,
Hindus and Muslims are same shit. They only know how to kill Peoples...See comments of Christians people no rudeness no abusing or bad words... Christians religion is the best religion in the world;0.166666667;0;0;0;0;0;1;0,,,,,,,,,,
Gun shot fi gay get all of the guns them out,the police must give we the rights to kill all gays, gun shot at all gays suck your mothers all gays;1;0;0;0;0;0;0;1,,,,,,,,
Grow some fucking balls and take back your country, bongs. Start killing reporters, politicians, and Asians.;1;0;0;0.333333333;0.666666667;0;0;0,,,,,,,
Good Muslims deserved attack and damage;1;0;0;0.166666667;0.166666667;0;0.666666667;0,,,,,,,,,,
Gayness should be removed from the face of the earth;0.666666667;0;0;0;0;0;0;1,,,,,,,,,,
fucking stupid feminist bitches;0;0;0.857142857;0;0;0;0;0.142857143,,,,,,,,,,
fucking monkeys kill them all;0.833333333;0.166666667;0;0.833333333;0.166666667;0;0;0,,,,,,,,,,
FUCKING migrants need BAN . fucking animals;0.333333333;0;0;0;1;0;0;0,,,,,,,,,,
Fuck u anti muslims heartless assholes u will go to hell;0.166666667;0.166666667;0;0;0.166666667;0;0.833333333;0,,,,,,,,,,
Fuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.;0.166666667;0.333333333;0.166666667;0.666666667;0.166666667;0;0;0,,,,,,,,,,
